     TIME      BNDY    WATER      WATER      WATER       HEAT       HEAT       HEAT
               FACE     FLUX       FLUX       FLUX       FLUX       FLUX       FLUX
                       TOTAL      TIME STEP   RATE      TOTAL      TIME STEP   RATE
  1.000000E+00     4 -1.165E+00 -2.039E-02 -2.371E-01 -4.873E+07 -1.006E+06 -1.171E+07
  1.000000E+00     1  0.000E+00  0.000E+00  0.000E+00 -1.097E+06 -4.740E+04 -5.514E+05
  1.103158E+00     4 -1.184E+00 -1.929E-02 -1.870E-01 -4.969E+07 -9.642E+05 -9.347E+06
  1.103158E+00     1  0.000E+00  0.000E+00  0.000E+00 -1.147E+06 -5.010E+04 -4.857E+05
  1.226948E+00     4 -1.202E+00 -1.794E-02 -1.449E-01 -5.060E+07 -9.073E+05 -7.329E+06
  1.226948E+00     1  0.000E+00  0.000E+00  0.000E+00 -1.199E+06 -5.286E+04 -4.270E+05
  1.375496E+00     4 -1.219E+00 -1.644E-02 -1.107E-01 -5.144E+07 -8.406E+05 -5.659E+06
  1.375496E+00     1  0.000E+00  0.000E+00  0.000E+00 -1.255E+06 -5.585E+04 -3.760E+05
  1.500000E+00     4 -1.230E+00 -1.118E-02 -8.982E-02 -5.199E+07 -5.549E+05 -4.457E+06
  1.500000E+00     1  0.000E+00  0.000E+00  0.000E+00 -1.297E+06 -4.202E+04 -3.375E+05
  1.649405E+00     4 -1.241E+00 -1.077E-02 -7.209E-02 -5.253E+07 -5.403E+05 -3.616E+06
  1.649405E+00     1  0.000E+00  0.000E+00  0.000E+00 -1.344E+06 -4.616E+04 -3.089E+05
  1.828690E+00     4 -1.251E+00 -1.029E-02 -5.741E-02 -5.306E+07 -5.219E+05 -2.911E+06
  1.828690E+00     1  0.000E+00  0.000E+00  0.000E+00 -1.394E+06 -5.076E+04 -2.831E+05
  2.000000E+00     4 -1.259E+00 -8.126E-03 -4.744E-02 -5.346E+07 -4.070E+05 -2.376E+06
  2.000000E+00     1  0.000E+00  0.000E+00  0.000E+00 -1.439E+06 -4.487E+04 -2.619E+05
  2.205572E+00     4 -1.267E+00 -8.009E-03 -3.896E-02 -5.387E+07 -4.061E+05 -1.976E+06
  2.205572E+00     1  0.000E+00  0.000E+00  0.000E+00 -1.489E+06 -5.028E+04 -2.446E+05
  2.452258E+00     4 -1.275E+00 -7.893E-03 -3.200E-02 -5.427E+07 -4.048E+05 -1.641E+06
  2.452258E+00     1  0.000E+00  0.000E+00  0.000E+00 -1.546E+06 -5.637E+04 -2.285E+05
  2.500000E+00     4 -1.277E+00 -1.472E-03 -3.084E-02 -5.434E+07 -6.993E+04 -1.465E+06
  2.500000E+00     1  0.000E+00  0.000E+00  0.000E+00 -1.556E+06 -1.048E+04 -2.195E+05
